date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Water_Need_1day
30-04-2021,18.8,38,59,5.5,12,28,1.15,8.91,10.25,40.986
01-05-2021,17.5,33.7,78,5.5,10.5,25.7,1.15,6.13,7.05,28.198
02-05-2021,17.2,29.4,80,5.5,8.7,22.8,1.15,4.95,5.69,22.77
03-05-2021,17.2,29.8,78,5.5,8.9,23.1,1.15,5.2,5.98,23.92
04-05-2021,16.2,30.7,79,5.5,10,24.9,1.15,5.49,6.31,25.254
05-05-2021,17.6,34.8,77,5.5,11.5,27.1,1.15,6.73,7.74,30.958
06-05-2021,17.9,38,69,5.5,12.9,29.3,1.15,8.4,9.66,38.64
07-05-2021,19.2,43.1,62,5.5,14.7,31.9,1.15,10.66,12.26,49.036
08-05-2021,19.2,45.6,53,5.5,15.7,33.5,1.15,12.3,14.15,56.58
09-05-2021,21.3,45.2,53,5.5,14.6,31.9,1.15,11.95,13.74,54.97
